-----------------------------
汉字      全拼      笔画数   
-----------------------------
一        yi        1        
丁        ding      2        
丂        yu        2        
七        qi        2        
丄        shang     2        
丅        xia       2        
丆        myeon     2        
万        wan       3        
丈        zhang     3        
三        san       3        
上        shang     3        
下        xia       3        
丌        ji        3        
不        bu        4        
与        yu        3        
丏        mian      4        
丐        gai       4        
丑        chou      4        
丒        chou      4        
专        zhuan     4        
且        qie       5        
丕        pi        5        
世        shi       5        
丗        shi       5        
丘        qiu       5        
丙        bing      5        
业        ye        5        
丛        cong      5        
东        dong      5        
丝        si        5        
丞        cheng     6        
丟        diu       6        
丠        qiu       6        
両        liang     6        
丢        diu       6        
丣        you       7        
两        liang     7        
严        yan       7        
並        bing      8        
丧        sang      8        
丨        shu       1        
丩        jiu       2        
个        ge        3        
丫        ya        3        
丬        zhuang    3        
中        zhong     4        
丮        ji        4        
丯        jie       4        
丰        feng      4        
丱        kuang     5        
串        chuan     7        
丳        chan      8        
临        lin       9        
丵        zhuo      10       
丶        dian      1        
丷        ha        2        
丸        wan       3        
丹        dan       4        
为        wei       4        
主        zhu       5        
丼        jing      5        
丽        li        7        
举        ju        9        
丿        pie       1        
乀        fu        1        
乁        yi        1        
乂        yi        2        
乃        nai       2        
乄        wu        2        
久        jiu       3        
乆        jiu       3        
乇        tuo       3        
么        me        3        
义        yi        3        
乊        ho        3        
之        zhi       3        
乌        wu        4        
乍        zha       5        
乎        hu        5        
乏        fa        4        
乐        le        5        
乑        zhong     6        
乒        ping      6        
乓        pang      6        
乔        qiao      6        
乕        hu        7        
乖        guai      8        
乗        sheng     9        
乘        cheng     10       
乙        yi        1        
乚        yin       1        
乛        ya        1        
乜        nie       2        
九        jiu       2        
乞        qi        3        
也        ye        3        
习        xi        3        
乡        xiang     3        
乢        gai       4        
乣        jiu       4        
乤        hal       4        
乥        hol       4        
书        shu       4        
乧        dul       5        
乨        shi       6        
乩        ji        6        
乪        nang      6        
乫        kal       6        
乬        keol      5        
乭        tol       6        
乮        mol       6        
乯        ol        6        
买        mai       6        
乱        luan      7        
乲        cal       7        
乳        ru        8        
乴        xue       8        
乵        yan       8        
乶        phoi      8        
乷        sha       8        
乸        na        8        
乹        qian      9        
乺        sol       9        
乻        eol       9        
乼        cui       9        
乽        ceor      9        
乾        qian      11       
乿        zhi       11       
亀        gui       11       
亁        gan       12       
亂        luan      13       
亃        lin       13       
亄        yi        13       
亅        jue       1        
了        le        2        
亇        ma        3        
予        yu        4        
争        zheng     6        
亊        zhi       7        
事        shi       8        
二        er        2        
亍        chu       3        
于        yu        3        
亏        kui       3        
亐        yu        3        
云        yun       4        
互        hu        4        
亓        qi        4        
五        wu        4        
井        jing      4        
亖        si        4        
亗        sui       5        
亘        gen       6        
亙        geng      6        
亚        ya        6        
些        xie       8        
亜        ya        7        
亝        zhai      8        
亞        ya        8        
亟        ji        8        
亠        wen       2        
亡        wang      3        
亢        kang      4        
亣        da        4        
交        jiao      6        
亥        hai       6        
亦        yi        6        
产        chan      6        
亨        heng      7        
亩        mu        7        
亪        ye        7        
享        xiang     8        
京        jing      8        
亭        ting      9        
亮        liang     9        
亯        xiang     9        
亰        jing      9        
亱        ye        9        
亲        qin       9        
亳        bo        10       
亴        you       12       
亵        xie       12       
亶        zhan      13       
亷        lian      13       
亸        duo       16       
亹        wei       22       
人        ren       2        
亻        dan       2        
亼        ji        3        
亽        ra        3        
亾        wu        3        
亿        yi        3        
